BSSID, First_time_seen, Last_time_seen, channel, Speed, Privacy, Cipher, Authentication, Power, N_beacons, N_IV, LAN_IP, ID-length, ESSID, Key
E8:28:C1:DC:3A:B0, 2023-07-28 09:57:32, 2023-07-28 09:57:32, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:C6:B0, 2023-07-28 09:59:19, 2023-07-28 11:03:58,  6, 130, OPN, ,   , -71,        4,        5,   0.  0.  0.  0,  12, MIREA_GUESTS, 
CE:48:E7:86:4E:33, 2023-07-28 09:59:20, 2023-07-28 10:04:15, 44, 866, WPA3 WPA2, CCMP, SAE PSK, -65,        9,        0,   0.  0.  0.  0,  27, iPhone (Анастасия), 
E8:28:C1:DC:C6:B2, 2023-07-28 10:02:42, 2023-07-28 11:56:21,  6,  -1, OPN, ,   , -70,        0,       34, 192.168.  0.  1,   0, , 
E8:28:C1:DB:F5:F2, 2023-07-28 10:07:24, 2023-07-28 10:20:26,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
8E:1F:94:96:DA:FD, 2023-07-28 10:08:32, 2023-07-28 10:15:27, 44, 866, WPA3 WPA2, CCMP, SAE PSK, -67,       12,        0,   0.  0.  0.  0,  27, iPhone (Анастасия), 
BE:FD:EF:18:92:44, 2023-07-28 10:15:24, 2023-07-28 10:15:28,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -64,        0,        0,   0.  0.  0.  0,  15, Димасик , 
E8:28:C1:DC:BD:50, 2023-07-28 10:16:31, 2023-07-28 11:02:14, 11, 130, OPN, ,   , -75,        5,        0,   0.  0.  0.  0,  12, MIREA_GUESTS, 
E8:28:C1:DC:0B:B2, 2023-07-28 10:20:20, 2023-07-28 10:20:20, 11,  -1, OPN, ,   , -82,        0,        1,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:3C:80, 2023-07-28 10:20:20, 2023-07-28 10:20:20, 52,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
7E:3A:10:A7:59:4E, 2023-07-28 10:20:37, 2023-07-28 11:37:28,  6, 180, WPA2, CCMP, PSK, -51,        3,        0,   0.  0.  0.  0,   8, vivo Y21, 
00:23:EB:E3:49:31, 2023-07-28 10:20:49, 2023-07-28 10:20:51,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:23:EB:E3:44:31, 2023-07-28 10:20:50, 2023-07-28 10:20:50,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A6:F7:05:31:E8:EE, 2023-07-28 10:25:47, 2023-07-28 10:25:47, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3A:DA:00:F9:0C:02, 2023-07-28 10:27:01, 2023-07-28 10:27:10,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -65,        5,        0,   0.  0.  0.  0,  26, iPhone XS Max 🦊🐱🦊, 
F2:30:AB:E9:03:ED, 2023-07-28 10:27:02, 2023-07-28 10:27:09,  1, 130, WPA2, CCMP, PSK, -53,        6,        0,   0.  0.  0.  0,  15, iPhone (Uliana), 
A2:64:E8:97:58:EE, 2023-07-28 10:27:03, 2023-07-28 11:37:55, 10, 180, WPA2, CCMP, PSK, -67,       52,        4,   0.  0.  0.  0,   8, Mi Phone, 
EA:D8:D1:77:C8:08, 2023-07-28 10:27:03, 2023-07-28 11:50:18,  6,  65, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  23, DIRECT-08-HP M428fdw LJ, 
BA:2A:7A:DD:38:3E, 2023-07-28 10:27:15, 2023-07-28 10:27:15,  6, 130, WPA2, CCMP, PSK, -66,        1,        0,   0.  0.  0.  0,  17, Айфон (Oleg), 
12:54:1A:C6:FF:71, 2023-07-28 10:27:46, 2023-07-28 10:27:46,  6, 180, WPA2, CCMP, PSK, -66,        0,        0,   0.  0.  0.  0,   6, Amuler, 
CE:C3:F7:A4:7E:B3, 2023-07-28 10:27:47, 2023-07-28 10:48:11, 11, 130, WPA2, CCMP, PSK, -82,        0,        0,   0.  0.  0.  0,  12, DIRECT-A6-HP, 
E8:28:C1:DC:33:12, 2023-07-28 10:28:36, 2023-07-28 10:51:35, 11,  -1, OPN, ,   , -82,        0,        1,   0.  0.  0.  0,   0, , 
E8:28:C1:DB:FC:F2, 2023-07-28 10:28:37, 2023-07-28 10:28:46,  8,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:03:7A:1A:03:56, 2023-07-28 10:29:13, 2023-07-28 10:29:19, 11, 130, OPN, ,   , -68,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
00:26:99:BA:75:8F, 2023-07-28 10:29:20, 2023-07-28 10:34:08, 64,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:09:4C:32:34:9B, 2023-07-28 10:29:39, 2023-07-28 10:29:47, -1,  -1, , ,   , -60,        0,        0,   0.  0.  0.  0,  14, kak_vashi_dela, 
E8:28:C1:DC:F0:90, 2023-07-28 10:29:40, 2023-07-28 10:51:32, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
76:5E:F3:F9:A5:1C, 2023-07-28 10:30:22, 2023-07-28 10:30:22,  1, 180, WPA2, CCMP, PSK, -66,        1,        0,   0.  0.  0.  0,  12, Redmi 9C NFC, 
E0:D9:E3:49:04:52, 2023-07-28 10:30:23, 2023-07-28 11:47:17, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:03:7F:12:34:56, 2023-07-28 10:30:23, 2023-07-28 10:30:23,  6, 130, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
E0:D9:E3:49:04:50, 2023-07-28 10:30:39, 2023-07-28 10:37:20, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:03:30, 2023-07-28 10:30:42, 2023-07-28 10:30:42, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
1E:C2:8E:D8:30:91, 2023-07-28 10:33:23, 2023-07-28 10:41:41,  6, 130, WPA2, CCMP, PSK, -67,        6,        0,   0.  0.  0.  0,   4, Damy, 
4A:86:77:04:B7:28, 2023-07-28 10:33:58, 2023-07-28 11:24:06,  6, 130, WPA2, CCMP, PSK, -37,      361,        1,   0.  0.  0.  0,  25, iPhone (Искандер), 
00:3E:1A:5D:14:45, 2023-07-28 10:34:03, 2023-07-28 10:34:05, 11, 130, OPN, ,   , -57,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
E0:D9:E3:49:04:40, 2023-07-28 10:34:12, 2023-07-28 10:34:19, 40,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B2:1B:0C:67:0A:BD, 2023-07-28 10:34:29, 2023-07-28 10:34:29, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
0A:24:D8:D9:24:70, 2023-07-28 10:35:31, 2023-07-28 11:43:22,  1, 130, WPA2, CCMP, PSK, -71,        2,        0,   0.  0.  0.  0,   9, IgorKotya, 
E0:D9:E3:49:00:B1, 2023-07-28 10:35:31, 2023-07-28 10:35:31,  1, 130, OPN, ,   , -70,        1,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:BD:52, 2023-07-28 10:36:14, 2023-07-28 10:36:14, 11, 130, OPN, ,   , -72,        1,        0,   0.  0.  0.  0,  13, MIREA_HOTSPOT, 
E8:28:C1:DC:54:B0, 2023-07-28 10:36:42, 2023-07-28 10:37:18, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E0:D9:E3:49:00:B0, 2023-07-28 10:37:15, 2023-07-28 10:37:16, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:33:10, 2023-07-28 10:37:25, 2023-07-28 10:51:31, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DB:F5:F0, 2023-07-28 10:37:27, 2023-07-28 10:51:29, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,  12, MIREA_GUESTS, 
E8:28:C1:DE:72:D0, 2023-07-28 10:37:29, 2023-07-28 10:37:29, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E0:D9:E3:49:04:41, 2023-07-28 10:38:54, 2023-07-28 10:38:54, 40,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A6:02:B9:73:83:18, 2023-07-28 10:38:54, 2023-07-28 11:55:11,  1, 130, WPA2, CCMP, PSK, -84,       17,        0,   0.  0.  0.  0,  12, C239U52 6706, 
B2:CF:C0:00:4A:60, 2023-07-28 10:40:54, 2023-07-28 10:40:59,  6, 180, WPA2, CCMP, PSK, -67,        4,        0,   0.  0.  0.  0,  25, Михаил's Galaxy M32, 
38:1A:52:0D:8F:EC, 2023-07-28 10:40:54, 2023-07-28 11:24:49, 11, 130, WPA2, CCMP, PSK, -66,      107,        0,   0.  0.  0.  0,  24, EBFCD6C2-EE81fI_DR21AOa0, 
00:26:99:F1:1A:E1, 2023-07-28 10:41:58, 2023-07-28 10:41:58,  1,  54, WPA2, CCMP, PSK, -76,        0,        0,   0.  0.  0.  0,   3, IKB, 
92:F5:7B:43:0B:69, 2023-07-28 10:41:58, 2023-07-28 11:55:10,  6, 180, WPA2, CCMP, PSK, -64,       18,        1,   0.  0.  0.  0,   8, Redmi 12, 
A6:02:B9:73:2F:76, 2023-07-28 10:42:14, 2023-07-28 11:51:18,  1, 130, WPA2, CCMP, PSK, -83,       26,        0,   0.  0.  0.  0,  12, C239U51 0701, 
A6:02:B9:73:81:47, 2023-07-28 10:43:11, 2023-07-28 11:53:35, 11, 130, WPA2, CCMP, PSK, -82,       19,        0,   0.  0.  0.  0,  12, C239U53 6056, 
38:1A:52:0D:90:5D, 2023-07-28 10:44:15, 2023-07-28 11:55:10, 11, 130, WPA2, CCMP, PSK, -67,       90,        0,   0.  0.  0.  0,  24, EBFCD615-EE81fI_DOL1AO8w, 
8A:A3:03:73:52:08, 2023-07-28 10:48:03, 2023-07-28 11:45:34,  1,  65, WPA2, CCMP, PSK, -69,        0,        0,   0.  0.  0.  0,  15, Galaxy A30s5208, 
00:23:EB:E3:44:32, 2023-07-28 10:48:54, 2023-07-28 10:48:54,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:26:CB:AA:62:72, 2023-07-28 10:51:10, 2023-07-28 10:51:10,  1,  54, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,   4, GIVC, 
E0:D9:E3:48:B4:D2, 2023-07-28 10:51:52, 2023-07-28 10:51:52, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AE:3E:7F:C8:BC:8E, 2023-07-28 10:54:06, 2023-07-28 10:54:06, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   9, Igorek✨, 
02:B3:45:5A:05:93, 2023-07-28 10:54:47, 2023-07-28 10:54:47, 11, 360, WPA2, CCMP, PSK, -75,        0,        0,   0.  0.  0.  0,   8, HONOR 30, 
00:00:00:00:00:00, 2023-07-28 11:02:02, 2023-07-28 11:02:02,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
6A:B0:1A:C2:DF:49, 2023-07-28 11:02:12, 2023-07-28 11:02:12,  6, 130, WPA2, CCMP, PSK, -68,        1,        0,   0.  0.  0.  0,  12, , 
E8:28:C1:DC:3C:90, 2023-07-28 11:02:58, 2023-07-28 11:02:58, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
30:B4:B8:11:C0:90, 2023-07-28 11:05:02, 2023-07-28 11:05:02,  2,  -1, WPA, ,   , -72,        0,        1,   0.  0.  0.  0,   0, , 
B6:C4:55:B5:53:24, 2023-07-28 11:05:24, 2023-07-28 11:55:11,  1, 180, WPA2, CCMP, PSK, -67,        7,        0,   0.  0.  0.  0,   7, Redmi 9, 
86:DF:BF:E4:2F:23, 2023-07-28 11:08:47, 2023-07-28 11:53:35, 11,  65, WPA2, CCMP, PSK, -70,       11,        0,   0.  0.  0.  0,  20, DESKTOP-Q7R0KRV 2433, 
00:26:99:F2:7A:EF, 2023-07-28 11:10:12, 2023-07-28 11:10:12, 44,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
02:67:F1:B0:6C:98, 2023-07-28 11:16:05, 2023-07-28 11:26:56, 11, 130, OPN, ,   , -68,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
76:C5:A0:70:08:96, 2023-07-28 11:16:36, 2023-07-28 11:16:38,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -52,        1,        0,   0.  0.  0.  0,  11, , 
EA:7B:9B:D8:56:34, 2023-07-28 11:17:50, 2023-07-28 11:55:11,  1, 180, WPA2, CCMP, PSK, -68,        1,        0,   0.  0.  0.  0,   8, POCO C40, 
2E:FE:13:D0:96:51, 2023-07-28 11:29:35, 2023-07-28 11:30:33, 11, 180, WPA2, CCMP, PSK, -61,        2,        0,   0.  0.  0.  0,  16, Redmi Note 8 Pro, 
22:C9:7F:A9:BA:9C, 2023-07-28 11:29:49, 2023-07-28 11:30:30, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3A:70:96:C6:30:2C, 2023-07-28 11:30:10, 2023-07-28 11:51:50,  6, 130, WPA2, CCMP, PSK, -48,      145,        5,   0.  0.  0.  0,  25, iPhone (Искандер), 
02:CF:8B:87:B4:F9, 2023-07-28 11:30:11, 2023-07-28 11:30:11, 11, 130, OPN, ,   , -70,        1,        0,   0.  0.  0.  0,   7, MT_FREE, 
36:46:53:81:12:A0, 2023-07-28 11:34:22, 2023-07-28 11:55:10, 11, 180, WPA2, CCMP, PSK, -57,       82,        3,   0.  0.  0.  0,  18, GGWPRedmi Note 10S, 
92:12:38:E5:7E:1E, 2023-07-28 11:36:35, 2023-07-28 11:51:03,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:0B:B0, 2023-07-28 11:41:18, 2023-07-28 11:55:10, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
82:CD:7D:04:17:3B, 2023-07-28 11:43:49, 2023-07-28 11:43:51, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:03:32, 2023-07-28 11:47:13, 2023-07-28 11:47:13, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:54:B2, 2023-07-28 11:47:18, 2023-07-28 11:47:19, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:53:7A:99:98:56, 2023-07-28 11:48:14, 2023-07-28 11:48:14, 11, 130, OPN, ,   , -68,        0,        0,   0.  0.  0.  0,   7, MT_FREE, 
00:03:7F:10:17:56, 2023-07-28 11:50:23, 2023-07-28 11:50:23, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:0D:97:6B:93:DF, 2023-07-28 11:51:25, 2023-07-28 11:51:25, -1,  -1, , ,   , -64,        0,        0,   0.  0.  0.  0,   0, , 
9C:A5:13:28:D5:89, 2023-07-28 11:51:48, 2023-07-28 11:52:31, 11,  65, WPA2, CCMP, PSK, -71,        3,        0,   0.  0.  0.  0,  14, Galaxy M012063, 
E8:28:C1:DE:47:D0, 2023-07-28 11:55:11, 2023-07-28 11:55:11,  1, 130, OPN, ,   , -70,        1,        0,   0.  0.  0.  0,  12, MIREA_GUESTS, 
